"Timestamp","What is your gender?","Which age range do you fall under?","What is your current marital status?","What is your highest level of education?","What is your current employment status?","Which of the following is your primary telecom service provider?","On which of the following social media platforms do you have an account?","Which three of these options do you consider to be the biggest (possible) challenges while receiving customer support from a telecom company","Which of these social media platforms would you consider to be the best channel for sending a complaint to a telecom company?","On a scale of 1 - 5, how comfortable are you texting a chatbot when trying to receive customer support?","On a scale of 1 to 5, how content or satisfied are you with the customer support offered by your primary telecom service provider (that you chose in the first section)? ","On a scale 1 to 5, rate the average customer support offered by businesses in Uganda based on your experiences so far (complaints or requests for help)?","How essential to you would each of these features be in a customer support (care) platform? [should be a website]","How essential to you would each of these features be in a customer support (care) platform? [should be a mobile application]","How essential to you would each of these features be in a customer support (care) platform? [support live text chats with agents]","How essential to you would each of these features be in a customer support (care) platform? [support video call and screen sharing]","How essential to you would each of these features be in a customer support (care) platform? [support local languages]","How essential to you would each of these features be in a customer support (care) platform? [support sending images to customer support agent]","How essential to you would each of these features be in a customer support (care) platform? [offer a searchable self-help solutions knowledge base ]","How essential to you would each of these features be in a customer support (care) platform? [provide recommended solutions]","How essential to you would each of these features be in a customer support (care) platform? [show status on progress of my support request]","How essential to you would each of these features be in a customer support (care) platform? [schedule customer support appointments for later]","How essential to you would each of these features be in a customer support (care) platform? [rate and review customer support agents]","How essential to you would each of these features be in a customer support (care) platform? [have a discussion forum with fellow customers]","Which of these factors is most important to you when contacting customer support (customer care)?","How necessary do you think a mobile/web application dedicated to creating and managing your customer support complaints with various businesses, companies, institutions and government entities is to you? "
"2022/08/18 1:55:50 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents over the weekends.","Twitter","3","2","3","very essential","not essential","very essential","essential","very essential","essential","very essential","very essential","very essential","essential","essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 1:59:26 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Twitter","1","2","2","essential","very essential","very essential","essential","very essential","very essential","essential","very essential","very essential","essential","very essential","not essential","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 2:00:58 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","WhatsApp","No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Twitter","5","3","3","very essential","essential","very essential","very essential","very essential","very essential","essential","not essential","very essential","essential","very essential","not essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 2:04:15 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.","Email","4","3","4","essential","not essential","very essential","essential","very essential","essential","very essential","very essential","very essential","I am not sure","essential","essential","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","Very necessary"
"2022/08/18 2:09:52 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Telegram","Many steps have to be followed to talk to a customer care agent.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Messages","1","3","3","not essential","essential","not essential","not essential","not essential","not essential","essential","very essential","essential","not essential","not essential","not essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 2:10:07 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents over the weekends.","WhatsApp","4","3","4","essential","very essential","essential","not essential","essential","essential","essential","essential","essential","not essential","essential","not essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 2:14:09 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.;Little help provided on certain issues","Twitter","5","5","3","not essential","not essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","essential","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 2:17:47 pm GMT+3","Male","20 years - 35 years","Single","Secondary school","Unemployed, looking for work","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents over the weekends.","WhatsApp","5","5","5","essential","very essential","essential","essential","not essential","essential","not essential","essential","essential","very essential","not essential","essential","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 2:21:50 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","MTN","WhatsApp","Many steps have to be followed to talk to a customer care agent.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","WhatsApp","3","4","4","essential","very essential","very essential","essential","very essential","essential","very essential","very essential","essential","not essential","very essential","not essential","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","Very necessary"
"2022/08/18 2:22:27 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email","No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents over the weekends.","Email","5","4","4","essential","very essential","very essential","very essential","very essential","very essential","very essential","essential","very essential","very essential","very essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 2:23:06 pm GMT+3","Female","20 years - 35 years","Single","Post graduate and above","Unemployed, looking for work","MTN","WhatsApp","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Email","3","4","3","essential","very essential","essential","not essential","essential","very essential","essential","not essential","essential","very essential","essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 2:24:53 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Telegram","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents over the weekends.","Twitter","3","2","3","not essential","not essential","very essential","not essential","essential","very essential","very essential","essential","not essential","not essential","not essential","not essential","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 2:42:36 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Self employed","AIRTEL","WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents over the weekends.","WhatsApp","2","4","3","essential","very essential","very essential","not essential","essential","very essential","very essential","essential","not essential","essential","not essential","not essential","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 2:43:24 pm GMT+3","Male","20 years - 35 years","Single","Secondary school","Student","AIRTEL","WhatsApp","Many steps have to be followed to talk to a customer care agent.;No/low availability of customer support agents late in the night.;wrong answer to my complaint","Email","2","3","2","essential","essential","essential","not essential","essential","not essential","very essential","essential","not essential","not essential","essential","very essential","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 2:45:40 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Employed on a salary","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","WhatsApp","1","3","3","very essential","not essential","very essential","very essential","very essential","essential","not essential","very essential","not essential","essential","essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 3:03:37 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Employed on a salary","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Twitter","4","3","2","essential","essential","very essential","essential","not essential","very essential","very essential","very essential","very essential","essential","very essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 3:21:25 pm GMT+3","Male","20 years - 35 years","Single","Secondary school","Student","MTN","Email;WhatsApp","Many steps have to be followed to talk to a customer care agent.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Feedback message ","3","5","4","essential","essential","very essential","not essential","very essential","essential","very essential","very essential","essential","essential","very essential","very essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 3:25:24 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Facebook","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents over the weekends.","WhatsApp","4","4","5","essential","very essential","essential","essential","essential","very essential","essential","essential","very essential","essential","very essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 3:30:14 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","Twitter","2","2","3","essential","essential","very essential","essential","very essential","very essential","very essential","very essential","very essential","essential","not essential","not essential","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 3:33:17 pm GMT+3","Male","20 years - 35 years","Married","Post graduate and above","Employed on a salary","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","WhatsApp","1","1","1","essential","essential","very essential","essential","essential","essential","essential","essential","very essential","essential","not essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 3:40:04 pm GMT+3","Female","above 45 years","Married","Undergraduate","Self employed","MTN","Email;WhatsApp;Facebook","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","WhatsApp","3","3","3","not essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","essential","essential","very essential","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","Very necessary"
"2022/08/18 3:44:14 pm GMT+3","Male","20 years - 35 years","Single","Secondary school","Student","AIRTEL","Email;WhatsApp;Twitter;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","WhatsApp","3","4","3","essential","very essential","very essential","essential","very essential","very essential","very essential","very essential","very essential","not essential","I am not sure","essential","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 3:57:33 pm GMT+3","Female","20 years - 35 years","Single","Secondary school","Student","MTN","Email;WhatsApp;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Email","4","3","4","very essential","not essential","very essential","I am not sure","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 3:57:48 pm GMT+3","Male","20 years - 35 years","Cohabiting","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents late in the night.","WhatsApp","5","4","4","very essential","very essential","very essential","not essential","very essential","very essential","essential","essential","very essential","very essential","very essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 3:58:55 pm GMT+3","Female","20 years - 35 years","Single","Secondary school","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Phone call","4","4","4","very essential","very essential","essential","I am not sure","very essential","essential","very essential","essential","very essential","essential","essential","not essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 4:01:53 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","WhatsApp","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents late in the night.","Twitter","1","3","3","essential","essential","very essential","not essential","very essential","very essential","very essential","very essential","very essential","essential","very essential","essential","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","Very necessary"
"2022/08/18 4:02:14 pm GMT+3","Male","20 years - 35 years","Single","Secondary school","Self employed","AIRTEL","Email;WhatsApp;Twitter","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","WhatsApp","2","2","2","essential","essential","very essential","essential","very essential","very essential","very essential","essential","essential","essential","essential","essential","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 5:36:41 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Twitter","2","4","3","essential","not essential","very essential","not essential","not essential","essential","very essential","very essential","very essential","essential","very essential","very essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 6:00:27 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Telegram","Many steps have to be followed to talk to a customer care agent.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Twitter","3","3","3","essential","very essential","very essential","essential","very essential","very essential","very essential","very essential","very essential","essential","very essential","essential","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 6:14:07 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","WhatsApp","3","3","4","essential","not essential","not essential","essential","not essential","very essential","not essential","essential","I am not sure","not essential","very essential","not essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 6:14:53 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Employed on a salary","AIRTEL","WhatsApp;Twitter;Facebook","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","Email","3","3","3","very essential","not essential","essential","not essential","I am not sure","not essential","not essential","I am not sure","not essential","not essential","not essential","I am not sure","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 6:18:17 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","MTN","WhatsApp","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents over the weekends.","WhatsApp","2","3","2","essential","essential","essential","essential","essential","essential","essential","essential","essential","essential","essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 6:20:38 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Employed on a salary","AIRTEL","Email;WhatsApp;Twitter;Facebook","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Twitter","5","3","2","not essential","very essential","very essential","very essential","very essential","very essential","essential","very essential","very essential","very essential","very essential","very essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 6:22:34 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Unemployed, looking for work","AIRTEL","Email;WhatsApp;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents over the weekends.","Email","1","3","3","I am not sure","essential","essential","essential","essential","essential","essential","essential","essential","I am not sure","essential","essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 6:23:47 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","WhatsApp","4","3","3","not essential","essential","essential","not essential","very essential","essential","very essential","very essential","very essential","not essential","very essential","very essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 6:24:50 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Self employed","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","WhatsApp","4","3","3","essential","essential","essential","not essential","very essential","not essential","very essential","not essential","very essential","essential","essential","very essential","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","I am not sure"
"2022/08/18 6:25:17 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Self employed","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Email","2","3","3","not essential","not essential","very essential","very essential","very essential","essential","essential","very essential","very essential","very essential","essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 6:25:22 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Self employed","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","WhatsApp","1","4","4","not essential","very essential","very essential","not essential","essential","not essential","not essential","very essential","essential","not essential","not essential","not essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 6:37:53 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","Twitter","4","5","4","not essential","I am not sure","essential","very essential","not essential","very essential","essential","essential","very essential","essential","essential","very essential","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","Very necessary"
"2022/08/18 6:39:01 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Email","3","4","4","very essential","very essential","very essential","not essential","very essential","very essential","very essential","very essential","very essential","essential","not essential","not essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 6:45:22 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Self employed","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Twitter","4","2","2","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 6:45:45 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Employed on a salary","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","Twitter","3","4","2","very essential","very essential","essential","not essential","very essential","essential","not essential","not essential","essential","essential","essential","not essential","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","Very necessary"
"2022/08/18 6:46:52 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","Lyca Mobile","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents over the weekends.","Twitter","2","3","3","essential","very essential","very essential","not essential","essential","essential","essential","essential","essential","essential","essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 7:05:21 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Telegram","4","4","3","very essential","essential","very essential","not essential","very essential","essential","very essential","very essential","essential","not essential","not essential","essential","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","Very necessary"
"2022/08/18 7:10:27 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","WhatsApp","2","3","3","essential","very essential","essential","not essential","very essential","essential","very essential","essential","essential","not essential","very essential","essential","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","Very necessary"
"2022/08/18 7:21:29 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","MTN","Email","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents over the weekends.","WhatsApp","3","2","1","not essential","I am not sure","not essential","not essential","very essential","not essential","essential","very essential","very essential","essential","very essential","very essential","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 7:35:04 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","WhatsApp","3","3","3","very essential","very essential","not essential","not essential","very essential","I am not sure","essential","essential","essential","not essential","essential","not essential","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 7:43:33 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","Email","3","4","3","essential","essential","essential","essential","essential","essential","essential","essential","essential","essential","not essential","essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 7:45:00 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","Email;WhatsApp;Twitter;Facebook","Many steps have to be followed to talk to a customer care agent.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Email","2","3","2","very essential","very essential","essential","I am not sure","very essential","very essential","not essential","essential","very essential","very essential","very essential","essential","How easy it is for me to have my issue sorted.","I am not sure"
"2022/08/18 7:47:37 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents over the weekends.","WhatsApp","5","5","3","essential","essential","very essential","essential","very essential","very essential","very essential","very essential","essential","very essential","essential","essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 7:50:01 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Employed on a salary","AIRTEL","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents late in the night.","WhatsApp","3","4","4","not essential","not essential","essential","essential","very essential","essential","essential","essential","essential","I am not sure","essential","I am not sure","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 7:56:30 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Employed on a salary","MTN","Email;WhatsApp;Twitter;Facebook","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","Email","4","3","3","essential","very essential","very essential","very essential","not essential","essential","very essential","very essential","very essential","I am not sure","very essential","very essential","Ability to have my issue sorted on my own (without having to talk to an agent or someone)","Very necessary"
"2022/08/18 7:57:49 pm GMT+3","Male","20 years - 35 years","Single","Secondary school","Student","AIRTEL","Email;WhatsApp;Twitter;Telegram","Many steps have to be followed to talk to a customer care agent.;No/low availability of customer support agents late in the night.;No/low availability of customer support agents over the weekends.","Twitter","4","5","3","not essential","not essential","essential","essential","not essential","essential","not essential","essential","essential","not essential","essential","not essential","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 7:58:43 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Self employed","AIRTEL","Email","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","WhatsApp","3","2","3","essential","very essential","very essential","very essential","very essential","not essential","very essential","very essential","very essential","essential","not essential","not essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 8:04:15 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Employed on a salary","AIRTEL","Email;WhatsApp","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents late in the night.","WhatsApp","2","4","3","essential","essential","essential","not essential","very essential","not essential","not essential","essential","not essential","not essential","not essential","not essential","How easy it is for me to have my issue sorted.","I am not sure"
"2022/08/18 8:04:39 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","WhatsApp","3","2","2","very essential","very essential","very essential","essential","not essential","essential","essential","very essential","very essential","essential","essential","very essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 8:05:52 pm GMT+3","Female","20 years - 35 years","Single","Undergraduate","Student","AIRTEL","WhatsApp","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents over the weekends.","Email","3","2","2","essential","very essential","very essential","very essential","essential","very essential","essential","essential","very essential","I am not sure","essential","essential","How easy it is for me to have my issue sorted.","I am not sure"
"2022/08/18 8:10:49 pm GMT+3","Male","below 19 years","Single","Secondary school","Student","AIRTEL","Email;WhatsApp;Twitter;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents over the weekends.","WhatsApp","1","4","3","not essential","not essential","very essential","very essential","very essential","essential","essential","very essential","very essential","essential","very essential","very essential","How easy it is for me to have my issue sorted.","I am not sure"
"2022/08/18 8:12:50 pm GMT+3","Female","above 45 years","Married","Vocational college","Retired","MTN","WhatsApp","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.;No/low availability of customer support agents over the weekends.","Email","1","2","2","essential","essential","very essential","I am not sure","very essential","I am not sure","not essential","essential","essential","essential","essential","essential","Speed at which my issue is sorted.","I am not sure"
"2022/08/18 8:23:43 pm GMT+3","Male","20 years - 35 years","Single","Post graduate and above","Self employed","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;Connected to an agent with low technical knowledge needed to handle my issue.","WhatsApp","1","2","2","essential","very essential","very essential","not essential","very essential","very essential","very essential","essential","essential","essential","very essential","not essential","How easy it is for me to have my issue sorted.","Very necessary"
"2022/08/18 8:28:49 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Twitter;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;No/late responses to my customer support complaints on social media.;No/low availability of customer support agents late in the night.","Twitter","2","3","1","essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","very essential","essential","essential","essential","Speed at which my issue is sorted.","Very necessary"
"2022/08/18 8:33:37 pm GMT+3","Male","20 years - 35 years","Single","Undergraduate","Student","MTN","Email;WhatsApp;Facebook;Telegram","Many steps have to be followed to talk to a customer care agent.;Connected to an agent with low technical knowledge needed to handle my issue.","WhatsApp","4","2","2","essential","essential","very essential","essential","very essential","very essential","very essential","very essential","very essential","not essential","very essential","very essential","Speed at which my issue is sorted.","Very necessary"
